id,zona,nombre,direccion,lat,lon,tipo,riesgo,mensaje,audio_hint,vibro_patron,radio_m,orden,hospitals
f4a7bc49,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 3,calle 23/cra 24,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,"Estás avanzando desde el cruce del Centro Comercial Metro hacia la esquina de la Clínica Ardila Lule. Mantén precaución en este tramo.","Tramo angosto adelante. Avanza con calma.",corto,8,3.0,
2ed3339d,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 3,calle 23/cra 24,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,"Te aproximas a la esquina entre la carrera 25 y la carrera 24 sobre la calle 23. Mantén tu trayectoria con cuidado.","Se acerca una esquina. Mantén tu trayectoria.",corto,8,3.0,
6083e757,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 4,cra 24/calle 23,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,"Este tramo va desde la óptica hasta la esquina de la Clínica Foscal. Ten precaución con el flujo peatonal.","Zona concurrida. Permanece atento.",corto,8,4.0,
1f05f873,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 4,Cra 24/Calle 23,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,"Estás cerca de la entrada de la Clínica Ardila Lule y del acceso vehicular de la FCV. Mantente alerta por el tránsito.","Acceso vehicular cercano. Avanza con cuidado.",corto,8,4.0,
fec8705f,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 7,Transversal 154/Cra 24,7.0728263,-73.1126099,U1-CIRCULACION PEATONAL,medio,"Ingresas a la zona de la Clínica Ardila Lule por la transversal 154. Camina con calma.","Entrada cercana. Reduce la velocidad.",corto,8,7.0,
e17e5738,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 7,Tranversal 154 #150,7.074932599999999,-73.1097166,U1-CIRCULACION PEATONAL,medio,"Hay un tramo con tránsito hacia las droguerías de la Clínica Ardila Lule. Mantén precaución.","Zona comercial. Atención al entorno.",corto,8,7.0,
a929a7de,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 8,Cra 23/Transversal 154,7.0740509,-73.1105426,U1-CIRCULACION PEATONAL,medio,"Te aproximas a la curva cercana al Centro Comercial Metro. Mantén tu dirección y avanza con cuidado.","Curva adelante. Sigue derecho.",corto,8,8.0,
2830aa53,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 9,Calle 31/ Cra 26,7.1247491,-73.1197103,U1-CIRCULACION PEATONAL,medio,"Estás próximo a la entrada del Centro Comercial Metro. Prepárate para la esquina.","Entrada próxima. Avanza con calma.",corto,8,9.0,
335a7772,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 1,Calle 31/Cra 26 con Autopista,7.1247491,-73.1197103,U2-CRUCE PEATONAL A NIVEL,medio,"Llegas a la esquina del Centro Comercial Metro, punto compartido con otro tramo. Mantén atención al cruce.","Cruce cercano. Ten cuidado.",corto,8,1.0,"
d609d087,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 1,Autopista Floridablanca,7.079121,-73.1079622,U2-CRUCE PEATONAL A NIVEL,medio,"Te aproximas a la esquina que conecta el Centro Comercial Metro con la Clínica Ardila Lule. Avanza con precaución.","Esquina adelante. Procede con cuidado.",corto,8,1.0,
8b938834,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 2,Cra 23/ Autopista,7.127253,-73.1224623,U2-CRUCE PEATONAL A NIVEL,medio,"Este tramo va desde la autopista hasta el parqueadero del Centro Comercial Metro por la carrera 23. Mantén atención al entorno.","Tramo peatonal. Avanza con cuidado.",corto,8,2.0,
c21df32d,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 3,Calle 23/Cra 24,7.073872,-73.1097362,U2-CRUCE PEATONAL A NIVEL,medio,"Te acercas al segundo cruce peatonal en dirección a la entrada de la Clínica Ardila Lule. Avanza con precaución.","Cruce próximo. Atención.",corto,8,3.0,
