id,zona,nombre,direccion,lat,lon,tipo,riesgo,mensaje,audio_hint,vibro_patron,radio_m,orden,hospitals
f4a7bc49,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 3,calle 23/cra 24,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: desde cruce con cc metro hasta esquina Ardila Lule. Sigue con precaución.,—,corto,12,3,Clínica FOSCAL
2ed3339d,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 3,calle 23/cra 24,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: Esquina cra 25 a Cra 24 por la calle 23. Sigue con precaución.,—,corto,12,3,Clínica FOSCAL
6083e757,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 4,cra 24/calle 23,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: esquina optica hasta esquina clinica foscal. Sigue con precaución.,—,corto,12,4,Clínica FOSCAL
1f05f873,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 4,Cra 24/Calle 23,7.073872,-73.1097362,U1-CIRCULACION PEATONAL,medio,Atención: entrada ardila lule a acceso vehícular FCV. Sigue con precaución.,—,corto,12,4,Clínica FOSCAL
fec8705f,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 7,Transversal 154/Cra 24,7.0728263,-73.1126099,U1-CIRCULACION PEATONAL,medio,Atención: Entrada de la Ardila Lule por la transversal 154. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
e17e5738,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 7,Tranversal 154 #150,7.0749325,-73.1097166,U1-CIRCULACION PEATONAL,medio,Atención: Ardila lule droguerias. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
a929a7de,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 8,Cra 23/Transversal 154,7.0740509,-73.1105426,U1-CIRCULACION PEATONAL,medio,Atención: Curva metro. Sigue con precaución.,—,corto,12,8,Clínica FOSCAL
2830aa53,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL 9,Calle 31/ Cra 26,7.1247491,-73.1197103,U1-CIRCULACION PEATONAL,medio,Atención: Esquina entrada cc metro. Sigue con precaución.,—,corto,12,9,Hospital Universitario de Santander (HUS)
"335a7772,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 1,""Calle 31/Cra 26, con Autopista"",7.1247491,-73.1197103,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Esquina cc metro (común al tramo 9). Sigue con precaución.,—,corto,12,1,Hospital Universitario de Santander (HUS)"
d609d087,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 1,Autopista Floridablanca,7.079121,-73.1079622,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Esquina de cc metro hacia ardila lule (común al tramo 2). Sigue con precaución.,—,corto,12,1,Clínica FOSCAL
8b938834,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 2,Cra 23/ Autopista,7.127253,-73.1224623,U2-CRUCE PEATONAL A NIVEL,medio,Atención: desde la autopista hasta parqueado de cc metro por la cra 23. Sigue con precaución.,—,corto,12,2,Hospital Universitario de Santander (HUS)
c21df32d,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 3,Calle 23/Cra 24,7.073872,-73.1097362,U2-CRUCE PEATONAL A NIVEL,medio,Atención: cruce peatonal 2 llegando a entrada Ardila Lule. Sigue con precaución.,—,corto,12,3,Clínica FOSCAL
50d95d8d,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 4,Cra 24/Calle 23,7.073872,-73.1097362,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Entrada Ardila Lule. Sigue con precaución.,—,corto,12,4,Clínica FOSCAL
49c1ff61,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 4,Cra 24/Calle 23,7.073872,-73.1097362,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Cra 24 entrada parque. Sigue con precaución.,—,corto,12,4,Clínica FOSCAL
31a32f51,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 5,Cruce esquina clínica Foscal,7.12605,-73.1207295,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Esquina foscal. Sigue con precaución.,—,corto,12,5,Hospital Universitario de Santander (HUS)
73225c68,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 6,Cra 23/Transversal 154,7.0740509,-73.1105426,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Construcción en frente foscal. Sigue con precaución.,—,corto,12,6,Clínica FOSCAL
f5d57953,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 7,Tv 154/Cra 23,7.0740509,-73.1105426,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Esquina ardila lule. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
09b33abf,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 7,Transversal 154/Cra 24,7.0728263,-73.1126099,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Esquina ardila lule. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
e0b35e0f,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 7,Travs 154 # 150,7.0728263,-73.1126099,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Ardila lule droguerias entrada parqueadero. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
e7493776,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 7,transveral 154#150,7.074932,-73.1097166,U2-CRUCE PEATONAL A NIVEL,medio,Atención: entrada planta electrica. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
3453f15f,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL 7,Tranversal 154#150,7.074932,-73.1097166,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Ardila lule esquina planta electrica. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
7c9d91b6,U3-PASO ELEVADO,Punto U3-PASO ELEVADO 1,Calle 31/Cra 26,7.1247491,-73.1197103,U3-PASO ELEVADO,medio,Atención: Rampas inicio de puente de la estación de metrolínea. Sigue con precaución.,—,corto,12,1,Hospital Universitario de Santander (HUS)
84fa08ba,U3-PASO ELEVADO,Punto U3-PASO ELEVADO 1,Calle 31/Calle 27,7.1255466,-73.1182228,U3-PASO ELEVADO,medio,Atención: Rampas final de puente de la estación de metrolínea. Sigue con precaución.,—,corto,12,1,Hospital Universitario de Santander (HUS)
dbb4b8c4,U3-PASO ELEVADO,Punto U3-PASO ELEVADO 3,Calle 23/Cra 24,7.073872,-73.1097362,U3-PASO ELEVADO,medio,Atención: rampa cruce desde cc metro hacia Ardila Lule. Sigue con precaución.,—,corto,12,3,Clínica FOSCAL
25808240,U3-PASO ELEVADO,Punto U3-PASO ELEVADO 4,Cra 24/Calle 23,7.073872,-73.1097362,U3-PASO ELEVADO,medio,Atención: Escaleras y rampas de entrada hacia la Clínica Ardila Lule. Sigue con precaución.,—,corto,12,4,Clínica FOSCAL
97994e8d,U3-PASO ELEVADO,Punto U3-PASO ELEVADO 7,Transversal 154/Cra 23,7.0740509,-73.1105426,U3-PASO ELEVADO,medio,Atención: Rampa en Centro Médico Carlos Ardila Lule. Sigue con precaución.,—,corto,12,7,Clínica FOSCAL
d9b6e582,U4-ITINERARIO VERTICAL,Punto U4-ITINERARIO VERTICAL 1,Calle 31/Cra 27,7.1255466,-73.1182228,U4-ITINERARIO VERTICAL,medio,Atención: Rampas final de puente de la estación de metrolínea. Sigue con precaución.,—,corto,12,1,Hospital Universitario de Santander (HUS)
