id,zona,nombre,lat,lon,tipo,riesgo,mensaje,audio_hint,vibro_patron,radio_m,orden
1671e4da,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
75de18e5,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
98defe32,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
9a4ba62a,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
83af2a49,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
d06f977a,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
0e1a6ce0,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
db41a333,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
69fc7dfc,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
4da9246a,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
c7bc79a5,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
e0981e43,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
4ca4b12a,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
45e7098e,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
65653c57,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
16f84355,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
c426d7f5,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
1e079dcf,U1-CIRCULACION PEATONAL,Punto U1-CIRCULACION PEATONAL,,,U1-CIRCULACION PEATONAL,medio,Atención: Punto U1-CIRCULACION PEATONAL. Sigue con precaución.,,corto,12,
a7bbd803,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
e915643d,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
30a9dc1f,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
298c3a5d,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
1a6b3962,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
779aacca,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
f6c35609,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
a0a607c0,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
6e4bac79,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
3eaf242a,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
832ec0b8,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
63232af9,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
ee21bbfa,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
9e667e9f,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
39b0bbdb,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
1a588025,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
794200cc,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
61eac58e,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
18e2dfa5,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
d44daea2,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
7453da0d,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
0d76852d,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
0050e5d9,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
3d1dc9ef,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
35f1f822,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
232fb12c,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
72bac3bd,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
bf0918b2,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
948ba97c,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
2b74d714,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
31bccacd,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
882fa250,U2-CRUCE PEATONAL A NIVEL,Punto U2-CRUCE PEATONAL A NIVEL,,,U2-CRUCE PEATONAL A NIVEL,medio,Atención: Punto U2-CRUCE PEATONAL A NIVEL. Sigue con precaución.,,corto,12,
f519124b,U3-PASO ELEVADO,nan,,,U3-PASO ELEVADO,medio,nan,,corto,12,
fa8fb5dc,U3-PASO ELEVADO,Número de la calle/carrera,,,U3-PASO ELEVADO,medio,Número de la calle/carrera,,corto,12,
933945b9,U3-PASO ELEVADO,Calle 31/Cra 26,,,U3-PASO ELEVADO,medio,Calle 31/Cra 26,,corto,12,
f3039e59,U3-PASO ELEVADO,Calle 31/Calle 27,,,U3-PASO ELEVADO,medio,Calle 31/Calle 27,,corto,12,
e2e99331,U3-PASO ELEVADO,Calle 23/Cra 24,,,U3-PASO ELEVADO,medio,Calle 23/Cra 24,,corto,12,
e52acbde,U3-PASO ELEVADO,Cra 24/Calle 23,,,U3-PASO ELEVADO,medio,Cra 24/Calle 23,,corto,12,
